Date,Amount,Balance (BTC),Balance (USD),Profit 
11/01/2022 14:49,"+250 BTC (10,559,471.8 USD)","122,972.57277776 BTC","$5,194,101,659 @ $42,237.89","$2,469,631,966"
11/01/2022 12:43,"+183 BTC (7,680,879.84 USD)","122,722.57277776 BTC","$5,150,914,402 @ $41,972.02","$2,437,004,181"
8/01/2022 12:46,"+8 BTC (335,007.88 USD)","122,539.57277776 BTC","$5,131,465,384 @ $41,875.99","$2,425,236,043"
8/01/2022 12:09,"+268 BTC (11,222,764.14 USD)","122,531.57277776 BTC","$5,131,130,377 @ $41,875.99","$2,425,236,043"
7/01/2022 13:10,"+107 BTC (4,554,057.6 USD)","122,263.57277776 BTC","$5,203,694,886 @ $42,561.29","$2,509,023,317"
7/01/2022 11:43,"+760 BTC (32,587,320.21 USD)","122,156.57277776 BTC","$5,237,835,990 @ $42,878.05","$2,547,718,479"
6/01/2022 10:42,"+179 BTC (7,793,488.82 USD)","121,396.57277776 BTC","$5,285,490,683 @ $43,539.04","$2,627,960,492"
6/01/2022 5:30,+0.00001 BTC (0.46 USD),"121,217.57277776 BTC","$5,551,744,651 @ $45,799.83","$2,902,007,949"
5/01/2022 11:06,"+372 BTC (17,122,242.1 USD)","121,217.57276776 BTC","$5,579,345,775 @ $46,027.53","$2,929,609,073"
4/01/2022 9:41,"+456 BTC (21,141,642.14 USD)","120,845.57276776 BTC","$5,602,793,539 @ $46,363.25","$2,970,179,079"
3/01/2022 1:06,+0.00002121 BTC (1 USD),"120,389.57276776 BTC","$5,676,987,326 @ $47,155.14","$3,065,514,508"
1/01/2022 9:55,"+6 BTC (278,388.73 USD)","120,389.57274655 BTC","$5,585,849,984 @ $46,398.12","$2,974,377,168"
1/01/2022 7:29,+0.00002022 BTC (0.93 USD),"120,383.57274655 BTC","$5,542,110,733 @ $46,037.1","$2,930,916,305"
1/01/2022 3:32,+0.00000888 BTC (0.42 USD),"120,383.57272633 BTC","$5,704,493,457 @ $47,385.98","$3,093,299,030"
1/01/2022 1:19,+0.00000777 BTC (0.37 USD),"120,383.57271745 BTC","$5,778,004,893 @ $47,996.62","$3,166,810,467"
