Country,Latitude,Longitude,Change in GDP (Year on Year),Change in Inflation Rate (Year on Year),Impact
Albania,41.0,20.0,5.948067047,0.209795827,Negative
Algeria,28.0,3.0,5.892407738,0.46336273000000006,Negative
Armenia,40.0,45.0,14.954257806,-0.2320108299999999,Negative
Australia,-27.0,133.0,1.825701257,-0.7638623359999999,Negative
Austria,47.33,13.33,8.165387846,-0.14898500799999992,Negative
Azerbaijan,40.5,47.5,6.588552051,0.14923764200000011,Negative
Bahrain,26.0,50.55,6.132849641000001,-3.32352634,Negative
Bangladesh,24.0,90.0,4.568928909,0.09907834799999993,Negative
Belarus,53.0,28.0,2.0842643770000002,-0.050012374999999665,Negative
Belgium,50.83,4.0,7.805740325,-0.6960277579999999,Negative
Benin,9.5,2.25,2.9129906079999994,3.727747832,Negative
Bhutan,27.5,90.5,15.618766085,2.9041707370000003,Negative
Bolivia,-17.0,-65.0,10.875096443999999,-0.8988028969999999,Negative
Bosnia and Herzegovina,44.0,18.0,6.146772099,-1.614078162,Negative
Botswana,-22.0,24.0,11.131285669,-0.8825052610000002,Negative
Brazil,-10.0,-55.0,5.392406641,-0.5212081739999999,Negative
Bulgaria,43.0,25.0,8.584018006,-1.4312884790000002,Negative
Burkina Faso,13.0,-2.0,3.631232648,5.117829278,Negative
Burundi,-3.5,30.0,1.445940227,8.007878605,Negative
Cambodia,13.0,105.0,10.010850408,0.9977201350000002,Negative
Cameroon,6.0,12.0,2.877788416,-0.015193318999999761,Negative
Canada,60.0,-95.0,6.769257659,-1.2322693919999999,Negative
Central African Republic,7.0,21.0,2.226297855,-0.3816897639999999,Negative
Chile,-30.0,-71.0,6.335719957999999,0.48794609099999997,Negative
China,35.0,105.0,3.4580102339999996,-0.47981226899999996,Negative
Colombia,4.0,-72.0,9.68047551,-1.000872201,Negative
Costa Rica,10.0,-84.0,6.22191261,-1.371134875,Negative
Cote d'Ivoire,8.0,-5.0,4.157059718,3.5318700080000003,Negative
Croatia,45.17,15.5,11.746808915999999,-0.6170089710000001,Negative
Cyprus,35.0,33.0,8.079705135000001,-0.888793795,Negative
Denmark,56.0,10.0,4.0969501269999995,-0.337419599,Negative
Djibouti,11.5,43.0,7.119899251,-1.541845889,Negative
Dominican Republic,19.0,-70.67,11.615465083,1.970428029,Negative
Ecuador,-2.0,-77.5,7.505495236,-0.604884908,Negative
El Salvador,13.83,-88.92,10.903572227,-0.446914347,Negative
Equatorial Guinea,2.0,10.0,1.159299162,3.5310063790000004,Positive
Estonia,59.0,26.0,6.964592656,-2.72179041,Negative
Fiji,-18.0,175.0,15.153165045,-4.3683450839999995,Negative
Finland,64.0,26.0,4.262875638000001,-0.733539374,Negative
France,46.0,2.0,9.670668533999999,-0.63175607,Negative
Gabon,-1.0,11.75,5.553027444,-1.287755802,Negative
Georgia,42.0,43.5,11.768387409,0.349566673,Negative
Germany,51.0,9.0,5.566653827,-0.938977125,Negative
Ghana,8.0,-2.0,5.931698285,2.74364953,Negative
Greece,39.0,22.0,10.878796664,-1.500929921,Negative
Guatemala,15.5,-90.25,5.263615295,-0.4855433579999997,Negative
Guinea,11.0,-10.0,1.3497787899999998,1.1310806270000011,Positive
Haiti,19.0,-72.42,1.6197447030000003,4.092528789999999,Negative
Honduras,15.0,-86.5,11.404162829999999,-0.8974598180000002,Negative
Hungary,47.0,20.0,9.068062821,-0.011842495999999869,Negative
Iceland,65.0,-18.0,8.206580803,-0.16604777700000017,Negative
India,20.0,77.0,11.157558314,2.9001602930000003,Negative
Indonesia,-5.0,120.0,6.978586332,-1.109618644,Negative
Iraq,33.0,44.0,21.182227507,0.7731280589999999,Negative
Ireland,53.0,-8.0,1.0951896939999997,-1.273629106,Positive
Israel,31.5,34.75,5.694133110999999,-1.432559009,Negative
Italy,42.83,12.83,10.245656815,-0.748954518,Negative
