date,fng_value,fng_classification
2/01/2018,30,Fear
3/01/2018,38,Fear
4/01/2018,16,Extreme Fear
5/01/2018,56,Greed
6/01/2018,24,Extreme Fear
7/01/2018,27,Fear
8/01/2018,39,Fear
9/01/2018,21,Extreme Fear
10/01/2018,35,Fear
11/01/2018,29,Fear
12/01/2018,13,Extreme Fear
2/02/2018,15,Extreme Fear
3/02/2018,47,Neutral
4/02/2018,11,Extreme Fear
5/02/2018,52,Neutral
6/02/2018,27,Fear
7/02/2018,27,Fear
8/02/2018,39,Fear
9/02/2018,18,Extreme Fear
10/02/2018,33,Fear
11/02/2018,36,Fear
12/02/2018,15,Extreme Fear
13/02/2018,35,Fear
14/02/2018,55,Greed
15/02/2018,71,Greed
16/02/2018,67,Greed
17/02/2018,74,Greed
18/02/2018,63,Greed
19/02/2018,67,Greed
20/02/2018,74,Greed
21/02/2018,54,Neutral
22/02/2018,44,Fear
23/02/2018,39,Fear
24/02/2018,31,Fear
25/02/2018,33,Fear
26/02/2018,37,Fear
27/02/2018,44,Fear
28/02/2018,41,Fear
2/03/2018,40,Fear
3/03/2018,56,Greed
4/03/2018,22,Extreme Fear
5/03/2018,55,Greed
6/03/2018,40,Fear
7/03/2018,31,Fear
8/03/2018,36,Fear
9/03/2018,19,Extreme Fear
10/03/2018,36,Fear
11/03/2018,36,Fear
12/03/2018,17,Extreme Fear
13/03/2018,41,Fear
14/03/2018,40,Fear
15/03/2018,32,Fear
16/03/2018,33,Fear
17/03/2018,31,Fear
18/03/2018,29,Fear
19/03/2018,29,Fear
20/03/2018,37,Fear
21/03/2018,36,Fear
22/03/2018,36,Fear
23/03/2018,28,Fear
24/03/2018,32,Fear
25/03/2018,30,Fear
26/03/2018,31,Fear
27/03/2018,24,Extreme Fear
28/03/2018,24,Extreme Fear
29/03/2018,18,Extreme Fear
30/03/2018,12,Extreme Fear
31/03/2018,16,Extreme Fear
2/04/2018,24,Extreme Fear
3/04/2018,44,Fear
4/04/2018,22,Extreme Fear
5/04/2018,56,Greed
6/04/2018,41,Fear
7/04/2018,33,Fear
8/04/2018,31,Fear
9/04/2018,26,Fear
10/04/2018,29,Fear
11/04/2018,41,Fear
12/04/2018,12,Extreme Fear
13/04/2018,23,Extreme Fear
17/04/2018,26,Fear
18/04/2018,24,Extreme Fear
19/04/2018,25,Extreme Fear
20/04/2018,26,Fear
21/04/2018,32,Fear
22/04/2018,31,Fear
23/04/2018,28,Fear
24/04/2018,29,Fear
25/04/2018,64,Greed
26/04/2018,47,Neutral
27/04/2018,55,Greed
28/04/2018,54,Neutral
29/04/2018,61,Greed
30/04/2018,59,Greed
2/05/2018,11,Extreme Fear
3/05/2018,55,Greed
4/05/2018,17,Extreme Fear
5/05/2018,63,Greed
6/05/2018,26,Fear
7/05/2018,37,Fear
8/05/2018,23,Extreme Fear
9/05/2018,17,Extreme Fear
10/05/2018,37,Fear
11/05/2018,42,Fear
12/05/2018,19,Extreme Fear
13/05/2018,40,Fear
14/05/2018,40,Fear
15/05/2018,40,Fear
16/05/2018,32,Fear
17/05/2018,31,Fear
18/05/2018,37,Fear
19/05/2018,31,Fear
20/05/2018,32,Fear
21/05/2018,41,Fear
22/05/2018,30,Fear
23/05/2018,26,Fear
24/05/2018,27,Fear
25/05/2018,25,Extreme Fear
26/05/2018,23,Extreme Fear
27/05/2018,19,Extreme Fear
28/05/2018,22,Extreme Fear
29/05/2018,16,Extreme Fear
30/05/2018,38,Fear
31/05/2018,25,Extreme Fear
2/06/2018,8,Extreme Fear
3/06/2018,59,Greed
4/06/2018,19,Extreme Fear
5/06/2018,67,Greed
6/06/2018,42,Fear
7/06/2018,34,Fear
8/06/2018,25,Extreme Fear
9/06/2018,14,Extreme Fear
10/06/2018,34,Fear
11/06/2018,42,Fear
12/06/2018,13,Extreme Fear
13/06/2018,19,Extreme Fear
14/06/2018,17,Extreme Fear
15/06/2018,26,Fear
16/06/2018,22,Extreme Fear
17/06/2018,23,Extreme Fear
18/06/2018,27,Fear
19/06/2018,32,Fear
20/06/2018,34,Fear
21/06/2018,37,Fear
22/06/2018,28,Fear
23/06/2018,17,Extreme Fear
24/06/2018,15,Extreme Fear
25/06/2018,16,Extreme Fear
26/06/2018,21,Extreme Fear
27/06/2018,18,Extreme Fear
28/06/2018,20,Extreme Fear
29/06/2018,16,Extreme Fear
30/06/2018,22,Extreme Fear
2/07/2018,36,Fear
3/07/2018,37,Fear
4/07/2018,20,Extreme Fear
5/07/2018,56,Greed
6/07/2018,38,Fear
7/07/2018,34,Fear
8/07/2018,25,Extreme Fear
9/07/2018,17,Extreme Fear
10/07/2018,29,Fear
11/07/2018,48,Neutral
12/07/2018,11,Extreme Fear
13/07/2018,29,Fear
14/07/2018,29,Fear
15/07/2018,32,Fear
16/07/2018,36,Fear
17/07/2018,39,Fear
18/07/2018,42,Fear
19/07/2018,44,Fear
20/07/2018,47,Neutral
21/07/2018,43,Fear
22/07/2018,46,Fear
23/07/2018,44,Fear
24/07/2018,49,Neutral
25/07/2018,54,Neutral
26/07/2018,53,Neutral
27/07/2018,47,Neutral
28/07/2018,54,Neutral
29/07/2018,54,Neutral
30/07/2018,53,Neutral
31/07/2018,48,Neutral
2/08/2018,30,Fear
3/08/2018,39,Fear
4/08/2018,17,Extreme Fear
5/08/2018,62,Greed
6/08/2018,40,Fear
7/08/2018,38,Fear
8/08/2018,23,Extreme Fear
9/08/2018,18,Extreme Fear
10/08/2018,26,Fear
11/08/2018,51,Neutral
12/08/2018,11,Extreme Fear
13/08/2018,21,Extreme Fear
14/08/2018,16,Extreme Fear
15/08/2018,18,Extreme Fear
16/08/2018,21,Extreme Fear
17/08/2018,19,Extreme Fear
18/08/2018,24,Extreme Fear
19/08/2018,27,Fear
20/08/2018,26,Fear
21/08/2018,19,Extreme Fear
22/08/2018,21,Extreme Fear
23/08/2018,18,Extreme Fear
