,Date,Fear and Greed Value,Fear and Greed Classification,Bitcoin,Ethereum,S&P 500,Moving Avg FG Index
0,2018-02-01,30,Fear,9170.5400390625,1036.7900390625,2821.97998046875,
11,2018-02-02,15,Extreme Fear,8830.75,915.7849731445312,2762.1298828125,
38,2018-02-03,40,Fear,9174.91015625,964.0189819335938,,
68,2018-02-04,24,Extreme Fear,8277.009765625,834.6820068359375,,
94,2018-02-05,11,Extreme Fear,6955.27001953125,697.9509887695312,2648.93994140625,
124,2018-02-06,8,Extreme Fear,7754.0,793.1220092773438,2695.139892578125,
153,2018-02-07,36,Fear,7621.2998046875,757.0679931640625,2681.659912109375,
183,2018-02-08,30,Fear,8265.58984375,817.8070068359375,2581.0,
213,2018-02-09,44,Fear,8736.98046875,883.864990234375,2619.550048828125,
242,2018-02-10,54,Neutral,8621.900390625,860.4149780273438,,
272,2018-02-11,31,Fear,8129.97021484375,814.6599731445312,,
301,2018-02-12,42,Fear,8926.5703125,868.7069702148438,2656.0,
22,2018-02-13,35,Fear,8598.3095703125,845.2579956054688,2662.93994140625,
23,2018-02-14,55,Greed,9494.6298828125,923.5609741210938,2698.6298828125,
24,2018-02-15,71,Greed,10166.400390625,936.9760131835938,2731.199951171875,
25,2018-02-16,67,Greed,10233.900390625,944.2100219726562,2732.219970703125,
26,2018-02-17,74,Greed,11112.7001953125,974.114990234375,,
27,2018-02-18,63,Greed,10551.7998046875,923.9210205078125,,
28,2018-02-19,67,Greed,11225.2998046875,943.864990234375,,
29,2018-02-20,74,Greed,11403.7001953125,895.3709716796875,2716.260009765625,
30,2018-02-21,54,Neutral,10690.400390625,849.9710083007812,2701.330078125,
31,2018-02-22,44,Fear,10005.0,812.844970703125,2703.9599609375,
32,2018-02-23,39,Fear,10301.099609375,864.1890258789062,2747.300048828125,
33,2018-02-24,31,Fear,9813.0703125,840.5150146484375,,
34,2018-02-25,33,Fear,9664.73046875,844.8099975585938,,
35,2018-02-26,37,Fear,10366.7001953125,869.3150024414062,2779.60009765625,
36,2018-02-27,44,Fear,10725.599609375,878.2650146484375,2744.280029296875,
37,2018-02-28,41,Fear,10397.900390625,855.198974609375,2713.830078125,
1,2018-03-01,38,Fear,10951.0,872.2000122070312,2677.669921875,
12,2018-03-02,47,Neutral,11086.400390625,856.85302734375,2691.25,42.63333333333333
39,2018-03-03,56,Greed,11489.7001953125,857.2249755859375,,43.5
69,2018-03-04,44,Fear,11512.599609375,866.677978515625,,44.46666666666667
95,2018-03-05,55,Greed,11573.2998046875,853.6840209960938,2720.93994140625,44.96666666666667
125,2018-03-06,59,Greed,10779.900390625,816.9509887695312,2728.1201171875,46.13333333333333
154,2018-03-07,37,Fear,9965.5703125,752.8309936523438,2726.800048828125,47.0
184,2018-03-08,39,Fear,9395.009765625,704.5960083007812,2738.969970703125,48.03333333333333
214,2018-03-09,37,Fear,9337.5498046875,728.916015625,2786.570068359375,48.06666666666667
243,2018-03-10,39,Fear,8866.0,686.8900146484375,,48.36666666666667
273,2018-03-11,40,Fear,9578.6298828125,723.3389892578125,,48.233333333333334
302,2018-03-12,41,Fear,9205.1201171875,699.8309936523438,2783.02001953125,47.8
49,2018-03-13,41,Fear,9194.849609375,690.8270263671875,2765.31005859375,48.13333333333333
50,2018-03-14,40,Fear,8269.8095703125,614.291015625,2749.47998046875,48.06666666666667
51,2018-03-15,32,Fear,8300.8603515625,611.3040161132812,2747.330078125,47.96666666666667
52,2018-03-16,33,Fear,8338.349609375,601.666015625,2752.010009765625,47.233333333333334
53,2018-03-17,31,Fear,7916.8798828125,552.7789916992188,,45.9
54,2018-03-18,29,Fear,8223.6796875,538.6439819335938,,44.63333333333333
55,2018-03-19,29,Fear,8630.650390625,556.7260131835938,2712.919921875,43.13333333333333
56,2018-03-20,37,Fear,8913.4697265625,557.1749877929688,2716.93994140625,42.266666666666666
57,2018-03-21,36,Fear,8929.2802734375,561.7319946289062,2711.929931640625,41.233333333333334
58,2018-03-22,36,Fear,8728.4697265625,539.7020263671875,2643.68994140625,39.96666666666667
59,2018-03-23,28,Fear,8879.6201171875,539.6190185546875,2588.260009765625,39.1
60,2018-03-24,32,Fear,8668.1201171875,526.4390258789062,,38.7
61,2018-03-25,30,Fear,8495.7802734375,524.2869873046875,,38.4
62,2018-03-26,31,Fear,8209.400390625,489.95098876953125,2658.550048828125,38.4
63,2018-03-27,24,Extreme Fear,7833.0400390625,450.1159973144531,2612.6201171875,38.1
64,2018-03-28,24,Extreme Fear,7954.47998046875,446.27899169921875,2605.0,37.666666666666664
65,2018-03-29,18,Extreme Fear,7165.7001953125,385.9679870605469,2640.8701171875,36.8
66,2018-03-30,12,Extreme Fear,6890.52001953125,394.6449890136719,,35.833333333333336
67,2018-03-31,16,Extreme Fear,6973.52978515625,396.4570007324219,,35.1
2,2018-04-01,16,Extreme Fear,6844.22998046875,379.60699462890625,,34.06666666666667
13,2018-04-02,11,Extreme Fear,7083.7998046875,386.42498779296875,2581.8798828125,32.56666666666667
40,2018-04-03,22,Extreme Fear,7456.10986328125,416.89300537109375,2614.449951171875,31.833333333333332
70,2018-04-04,22,Extreme Fear,6853.83984375,380.5429992675781,2644.68994140625,30.733333333333334
96,2018-04-05,17,Extreme Fear,6811.47021484375,383.23199462890625,2662.840087890625,29.333333333333332
126,2018-04-06,19,Extreme Fear,6636.31982421875,370.2850036621094,2604.469970703125,28.733333333333334
155,2018-04-07,20,Extreme Fear,6911.08984375,385.3139953613281,,28.1
185,2018-04-08,17,Extreme Fear,7023.52001953125,400.50799560546875,,27.433333333333334
215,2018-04-09,21,Extreme Fear,6770.72998046875,398.5260009765625,2613.159912109375,26.833333333333332
244,2018-04-10,18,Extreme Fear,6834.759765625,414.2430114746094,2656.8701171875,26.1
274,2018-04-11,20,Extreme Fear,6968.31982421875,430.5400085449219,2642.18994140625,25.4
303,2018-04-12,18,Extreme Fear,7889.25,492.9410095214844,2663.989990234375,24.633333333333333
79,2018-04-13,23,Extreme Fear,7895.9599609375,492.7349853515625,2656.300048828125,24.066666666666666
80,2018-04-17,26,Fear,7902.08984375,502.8940124511719,2706.389892578125,23.866666666666667
81,2018-04-18,24,Extreme Fear,8163.419921875,524.7890014648438,2708.639892578125,23.566666666666666
82,2018-04-19,25,Extreme Fear,8294.3095703125,567.8889770507812,2693.1298828125,23.366666666666667
83,2018-04-20,26,Fear,8845.830078125,615.718017578125,2670.139892578125,23.266666666666666
84,2018-04-21,32,Fear,8895.580078125,605.39501953125,,23.366666666666667
85,2018-04-22,31,Fear,8802.4599609375,621.8599853515625,,23.166666666666668
86,2018-04-23,28,Fear,8930.8798828125,642.5479736328125,2670.2900390625,22.9
87,2018-04-24,29,Fear,9697.5,708.1580200195312,2634.56005859375,22.666666666666668
88,2018-04-25,64,Greed,8845.740234375,615.416015625,2639.39990234375,23.866666666666667
89,2018-04-26,47,Neutral,9281.509765625,662.8090209960938,2666.93994140625,24.366666666666667
90,2018-04-27,55,Greed,8987.0498046875,647.031982421875,2669.909912109375,25.2
91,2018-04-28,54,Neutral,9348.48046875,683.677978515625,,25.966666666666665
92,2018-04-29,61,Greed,9419.080078125,688.8809814453125,,27.2
93,2018-04-30,59,Greed,9240.5498046875,669.9240112304688,2648.050048828125,28.366666666666667
3,2018-05-01,56,Greed,9119.009765625,673.6129760742188,2654.800048828125,29.633333333333333
14,2018-05-02,52,Neutral,9235.919921875,687.1489868164062,2635.669921875,30.966666666666665
41,2018-05-03,55,Greed,9743.8603515625,779.5430297851562,2629.72998046875,32.266666666666666
71,2018-05-04,56,Greed,9700.759765625,785.6240234375,2663.419921875,33.6
97,2018-05-05,63,Greed,9858.150390625,816.1199951171875,,35.333333333333336
127,2018-05-06,67,Greed,9654.7998046875,792.3109741210938,,36.833333333333336
156,2018-05-07,56,Greed,9373.009765625,753.7249755859375,2672.6298828125,37.96666666666667
186,2018-05-08,62,Greed,9234.8203125,752.8569946289062,2671.919921875,39.46666666666667
216,2018-05-09,53,Neutral,9325.1796875,752.2750244140625,2697.7900390625,40.6
245,2018-05-10,63,Greed,9043.9404296875,727.2769775390625,2723.070068359375,42.03333333333333
275,2018-05-11,41,Fear,8441.490234375,679.5859985351562,2727.719970703125,42.833333333333336
304,2018-05-12,44,Fear,8504.8896484375,686.0479736328125,,43.6
105,2018-05-13,40,Fear,8723.9404296875,733.4959716796875,,44.333333333333336
106,2018-05-14,40,Fear,8716.7900390625,730.5490112304688,2730.1298828125,45.0
107,2018-05-15,40,Fear,8510.3798828125,708.8709716796875,2711.449951171875,45.733333333333334
108,2018-05-16,32,Fear,8368.830078125,707.0499877929688,2722.4599609375,46.03333333333333
109,2018-05-17,31,Fear,8094.31982421875,672.656982421875,2720.1298828125,46.2
110,2018-05-18,37,Fear,8250.9697265625,694.3670043945312,2712.969970703125,46.63333333333333
111,2018-05-19,31,Fear,8247.1796875,696.530029296875,,46.833333333333336
112,2018-05-20,32,Fear,8513.25,715.3690185546875,,47.03333333333333
113,2018-05-21,41,Fear,8418.990234375,699.2219848632812,2733.010009765625,47.333333333333336
114,2018-05-22,30,Fear,8041.77978515625,647.7410278320312,2724.43994140625,47.3
115,2018-05-23,26,Fear,7557.81982421875,583.5850219726562,2733.2900390625,47.233333333333334
116,2018-05-24,27,Fear,7587.33984375,601.7550048828125,2727.760009765625,47.166666666666664
117,2018-05-25,25,Extreme Fear,7480.14013671875,586.7340087890625,2721.330078125,45.86666666666667
118,2018-05-26,23,Extreme Fear,7355.8798828125,587.280029296875,,45.06666666666667
119,2018-05-27,19,Extreme Fear,7368.22021484375,572.6680297851562,,43.86666666666667
120,2018-05-28,22,Extreme Fear,7135.990234375,516.0360107421875,,42.8
121,2018-05-29,16,Extreme Fear,7472.58984375,565.3880004882812,2689.860107421875,41.3
122,2018-05-30,38,Fear,7406.52001953125,559.5900268554688,2724.010009765625,40.6
123,2018-05-31,25,Extreme Fear,7494.169921875,577.64501953125,2705.27001953125,39.56666666666667
4,2018-06-01,24,Extreme Fear,7541.4501953125,580.0430297851562,2734.6201171875,38.63333333333333
15,2018-06-02,27,Fear,7643.4501953125,591.8079833984375,,37.7
42,2018-06-03,40,Fear,7720.25,618.3289794921875,,37.166666666666664
72,2018-06-04,41,Fear,7514.47021484375,592.9849853515625,2746.8701171875,36.43333333333333
98,2018-06-05,26,Fear,7633.759765625,609.302978515625,2748.800048828125,35.06666666666667
128,2018-06-06,42,Fear,7653.97998046875,607.1240234375,2772.35009765625,34.6
157,2018-06-07,38,Fear,7678.240234375,605.18701171875,2770.3701171875,33.8
187,2018-06-08,40,Fear,7624.919921875,601.0770263671875,2779.030029296875,33.36666666666667
217,2018-06-09,39,Fear,7531.97998046875,597.56201171875,,32.56666666666667
246,2018-06-10,24,Extreme Fear,6786.02001953125,526.47900390625,,32.0
276,2018-06-11,15,Extreme Fear,6906.919921875,533.2839965820312,2782.0,31.033333333333335
305,2018-06-12,19,Extreme Fear,6582.35986328125,496.8429870605469,2786.85009765625,30.333333333333332
135,2018-06-13,19,Extreme Fear,6349.89990234375,477.4939880371094,2775.6298828125,29.633333333333333
136,2018-06-14,17,Extreme Fear,6675.35009765625,519.7420043945312,2782.489990234375,28.866666666666667
137,2018-06-15,26,Fear,6456.580078125,491.0039978027344,2779.659912109375,28.666666666666668
138,2018-06-16,22,Extreme Fear,6550.16015625,499.6419982910156,,28.366666666666667
139,2018-06-17,23,Extreme Fear,6499.27001953125,500.447998046875,,27.9
140,2018-06-18,27,Fear,6734.81982421875,518.8909912109375,2773.75,27.766666666666666
141,2018-06-19,32,Fear,6769.93994140625,537.9569702148438,2762.590087890625,27.766666666666666
