,Date,Wallet Balance,BTC Buy/Sell (BTC)
0,2019-01-05,73926742,82.0
1,2019-01-06,160574400,913.0
2,2019-01-10,235407281,4.0
3,2019-01-11,275602238,1.095e-05
4,2019-02-03,41912927,81.0
5,2019-02-04,47199508,42.0
6,2019-02-05,75049323,26.0
7,2019-02-10,240882979,159.0
8,2019-02-13,40447199,1118.99689
9,2019-02-14,37798522199316853671093,9334.6198804
10,2019-02-27,41160868,334.0
11,2019-02-28,40798030,33.0
12,2019-03-05,77698720,68.0
13,2019-03-09,296613947,1e-05
14,2019-03-10,238660962,54.0
15,2019-03-15,43460983,5.46e-06
16,2019-03-21,45208243,5.46e-06
17,2019-03-22,4473744044637460,23.99920862
18,2019-03-23,44975585,62.0
19,2019-03-24,45026592,37.0
20,2019-03-31,4652412446639839,64.00000888
21,2019-04-03,41791192,72.0
22,2019-04-10,235134494,6.2e-05
23,2019-04-12,247115411,5.46e-06
24,2019-04-13,66320206,15.0
25,2019-04-17,68685389,153.0
26,2019-04-21,70338064,84.0
27,2019-04-25,73845980,374.0
28,2019-04-27,72800698,263.0
29,2019-05-03,40978049,41.0
30,2019-05-04,61430782,1000.0
31,2019-05-09,292965279,-786.00011
32,2019-05-10,237685696,103.0
33,2019-05-13,109132136,715.0
34,2019-05-14,134490880,943.0
35,2019-05-17,136211691,833.0
36,2019-05-29,149644696,0.0001
37,2019-05-30,155704180,327.0
38,2019-05-31,149153368,39.0
39,2019-06-02,3,0.001
40,2019-06-03,42488656,10.0
41,2019-06-05,81196265,60.0
42,2019-06-09,285137357,-1000.001
43,2019-06-10,237381630,139.0
44,2019-06-18,173681986,7.77e-06
45,2019-06-27,269560656,4100.0
46,2019-06-28,267606830,746.0
47,2019-07-05,81845328,147.0
48,2019-07-06,146973002,75.0
49,2019-07-13,286542730,257.0
50,2019-07-17,242172643,708.0
51,2019-07-18,248220358,156.0
52,2019-07-20,265866428,129.0
53,2019-07-25,253510600,622.0
54,2019-07-28,246784705,86.0
55,2019-08-08,295448565,-1200.00011
56,2019-08-17,258665745,0.0001
57,2019-08-20,268923056,31.0
58,2019-08-21,268038659,5.0
59,2019-08-22,253766850,386.0
60,2019-08-24,266085801,372.0
61,2019-08-31,273389229259307306,2916.012308
62,2019-09-03,43194939,122.0
63,2019-09-05,85580966,163.0
64,2019-09-25,230307141,46.0
65,2019-09-26,236302826,957.0
66,2019-09-27,228492669,613.0
67,2019-09-28,231321462,68.0
68,2019-09-29,231815735,21.0
69,2019-09-30,230120621,231.0
70,2019-10-04,65726616,284.0
71,2019-10-05,91412691,126.0
72,2019-10-06,143766650,52.0
73,2019-10-17,233860384,61.0
74,2019-10-18,236449210,82.0
75,2019-10-19,233398123233065954,83.00005005
76,2019-10-21,241961288,73.0
77,2019-10-25,224433105,674.0
78,2019-11-02,0,-0.001
79,2019-11-05,99191975,493.0
80,2019-11-12,243883557,50.0
81,2019-11-23,225819928,1250.0
82,2019-11-25,232056259,1220.03
83,2019-11-28,251928278,915.0
84,2019-12-02,20,0.00556
85,2019-12-03,42847073,16.0
86,2019-12-04,64652833,287.0
87,2019-12-05,108118619,17.0
88,2019-12-07,275060010,231.0
89,2019-12-09,271096151,1.111e-05
90,2019-12-13,244646404,329.0
91,2019-12-18,228276549,781.0
92,2019-12-19,255592449256025296253408069,671.99718236
93,2020-01-05,407706974,19.0
94,2020-01-07,507696035,0.0001097
95,2020-01-15,283906211,-3000.002
96,2020-02-05,413673314,945.0
97,2020-02-11,818331594,144.0
98,2020-02-16,321172452,107.0
99,2020-02-17,319478162,258.0
100,2020-02-18,316345105,141.0
101,2020-02-19,332106908,38.0
102,2020-02-21,322230780,609.0
103,2020-02-23,329063757,529.0
104,2020-03-08,585251442,31.0
105,2020-03-11,809678075,285.0
106,2020-03-13,169774765,648.0
107,2020-03-15,206609376,3788.0
108,2020-03-18,213886721,2276.0
109,2020-03-19,216570531,6.0
110,2020-03-21,252739837,282.0
111,2020-03-22,270763857,877.0
112,2020-03-23,257491068,472.0
113,2020-03-29,268850700,157.0
114,2020-03-31,281563974,130.0
115,2020-04-04,280526726,-1500.001
116,2020-04-05,423029894,480.0
117,2020-04-08,600613397606897241,866.00000547
118,2020-04-12,1381462845,500.0
119,2020-04-13,314838247,127.0
120,2020-04-14,309618628,1153.0
121,2020-04-16,306139343306139343,104.00000777
122,2020-04-22,318578234313267870,772.00000547
123,2020-05-05,433194019,855.0
124,2020-05-08,598658414,209.0
125,2020-05-12,1335626037,246.0
126,2020-05-13,497181259,2021.0
127,2020-05-14,524841246,34.0
128,2020-05-26,506538112,486.0
129,2020-05-27,503977129,117.0
130,2020-06-04,284977943,256.0
131,2020-06-11,939605186951288712,733.00003333
132,2020-06-12,1372711628,92.0
133,2020-07-08,634027266,21.0
134,2020-07-10,623623292,5.47e-06
135,2020-07-11,955198407,703.0
136,2020-07-14,498430632,-1500.001
137,2020-07-21,497882032,0.00033333
138,2020-07-24,504717759,-1500.001
