date,open,high,low,close,MA,MA,Volume,Volume MA,OnBalanceVolume,RSI
2015-03-29T00:00:00Z,253.6,254,241,243.69,NaN,257.35,8497,10351.7,56366,38.9200548
2015-03-30T00:00:00Z,243.6,250.06,237.94,248.78,NaN,257.8458,11461,10112.5,67827,42.41532056
2015-03-31T00:00:00Z,248.78,249.98,242.87,245.5,NaN,258.3338,8064,10027.9,59763,40.79525726
2015-04-01T00:00:00Z,245.5,248.22,241.07,247.87,NaN,258.8738,9876,10040.85,69639,42.50411221
2015-04-02T00:00:00Z,247.5,255.24,245.8,254.39,NaN,259.5654,8635,9871.7,78274,47.03344625
2015-04-03T00:00:00Z,254.79,257.43,252.59,254.84,NaN,260.198,7169,9867.45,85443,47.34177455
2015-04-04T00:00:00Z,255,256.6,251.26,254.37,NaN,260.5556,4269,9861.25,81174,47.03381625
2015-04-05T00:00:00Z,254.37,262,252.06,261.47,NaN,260.6518,5153,9677.2,86327,52.10260776
2015-04-06T00:00:00Z,261.49,263,255,256.85,NaN,261.078,7489,9663.05,78838,48.82811514
2015-04-07T00:00:00Z,256.84,258.7,253.45,254.27,NaN,261.4698,7843,9121.1,70995,47.04981569
2015-04-08T00:00:00Z,254.23,255.75,244.29,246.58,NaN,261.505,7480,8675.25,63515,42.12524179
2015-04-09T00:00:00Z,246.81,248.16,239.02,244.74,NaN,261.65,7602,8678.45,55913,41.01894566
2015-04-10T00:00:00Z,244.46,244.66,232.35,236.78,NaN,261.5676,11462,8952.5,44451,36.54732909
2015-04-11T00:00:00Z,236.78,239.99,234.77,237.91,NaN,261.419,5611,8943.1,50062,37.58749293
2015-04-12T00:00:00Z,237.91,239.16,234.02,237.55,NaN,261.2502,4355,8479.45,45707,37.37727573
2015-04-13T00:00:00Z,237.57,238,220.77,225.73,NaN,261.0282,11610,8176.4,34097,31.20614614
2015-04-14T00:00:00Z,225.42,226.9,216.92,221.05,NaN,260.6594,12029,8187.7,22068,29.15373535
2015-04-15T00:00:00Z,221.05,224.52,218.09,224.35,NaN,260.349,8702,8079.3,30770,32.52372096
