date,open,high,low,close,MA,MA,Volume,Volume MA,OnBalanceVolume,RSI
2016-05-23T00:00:00Z,13.91,13.91,13.61,13.61,NaN,NaN,1,NaN,NaN,NaN
2016-05-24T00:00:00Z,13.68,13.74,12,12.77,NaN,NaN,2754,NaN,-2754,NaN
2016-05-25T00:00:00Z,13,13.18,11.93,12.61,NaN,NaN,9696,NaN,-12450,NaN
2016-05-26T00:00:00Z,12.61,12.95,12.15,12.47,NaN,NaN,2993,NaN,-15443,NaN
2016-05-27T00:00:00Z,12.47,12.47,10.25,10.98,NaN,NaN,19329,NaN,-34772,NaN
2016-05-28T00:00:00Z,11.3,12.44,10.7,12.02,NaN,NaN,15673,NaN,-19099,NaN
2016-05-29T00:00:00Z,12.02,12.49,11.7,12.34,NaN,NaN,3385,NaN,-15714,NaN
2016-05-30T00:00:00Z,12.35,12.88,12,12.88,NaN,NaN,4124,NaN,-11590,NaN
2016-05-31T00:00:00Z,12.84,14.24,12.37,14.16,NaN,NaN,5807,NaN,-5783,NaN
2016-06-01T00:00:00Z,14.15,14.45,13.5,13.93,NaN,NaN,10389,NaN,-16172,NaN
2016-06-02T00:00:00Z,13.93,14.18,13.76,14.03,NaN,NaN,8048,NaN,-8124,NaN
2016-06-03T00:00:00Z,14.03,14.12,13.49,13.98,NaN,NaN,13004,NaN,-21128,NaN
2016-06-04T00:00:00Z,13.98,14.03,13.56,13.95,NaN,NaN,6250,NaN,-27378,NaN
2016-06-05T00:00:00Z,13.97,14.06,13.8,14.04,NaN,NaN,1953,NaN,-25425,NaN
2016-06-06T00:00:00Z,14.02,14.3,13.83,14.22,NaN,NaN,5142,NaN,-20283,54.69953775
2016-06-07T00:00:00Z,14.21,14.69,13.97,14.52,NaN,NaN,13016,NaN,-7267,56.84769109
2016-06-08T00:00:00Z,14.53,14.87,14.4,14.64,NaN,NaN,12617,NaN,5350,57.71152324
2016-06-09T00:00:00Z,14.64,14.85,14.55,14.71,NaN,NaN,8224,NaN,13574,58.23671924
2016-06-10T00:00:00Z,14.61,14.74,13.76,13.91,NaN,NaN,17340,NaN,-3766,50.51527222
2016-06-11T00:00:00Z,13.93,14.29,13.86,14.1,NaN,NaN,7581,8366.3,3815,52.13834432
2016-06-12T00:00:00Z,14.14,15.91,13.92,15.58,NaN,NaN,20332,9382.85,24147,62.46567405
2016-06-13T00:00:00Z,15.91,17.93,15.49,17.89,NaN,NaN,24121,10451.2,48268,72.4557067
2016-06-14T00:00:00Z,17.86,19.08,16.96,18.79,NaN,NaN,35326,11732.7,83594,75.22269639
2016-06-15T00:00:00Z,18.79,18.81,17.89,18.42,NaN,NaN,13614,12263.75,69980,72.01959645
2016-06-16T00:00:00Z,18.51,21.35,18.5,20.99,NaN,NaN,34245,13009.55,104225,78.77894269
2016-06-17T00:00:00Z,20.99,22,13.75,15.65,NaN,NaN,123080,18379.9,-18855,51.13657775
2016-06-18T00:00:00Z,15.64,15.74,10,11.64,NaN,NaN,80846,22252.95,-99701,39.83340673
2016-06-19T00:00:00Z,11.55,13.4,10.72,12.35,NaN,NaN,28839,23488.7,-70862,42.26669584
2016-06-20T00:00:00Z,12.35,12.74,10.8,11.81,NaN,NaN,34635,24930.1,-105497,40.91149478
2016-06-21T00:00:00Z,11.44,13.89,11.2,13.89,NaN,NaN,32070,26014.15,-73427,47.84785822
2016-06-22T00:00:00Z,13.3,15.89,13.07,13.18,NaN,NaN,68057,29014.6,-141484,45.8685058
2016-06-23T00:00:00Z,13.18,14.5,12.68,13.81,NaN,NaN,34445,30086.65,-107039,47.9269565
2016-06-24T00:00:00Z,13.98,14.8,13.25,14.55,NaN,NaN,32283,31388.3,-74756,50.31683363
2016-06-25T00:00:00Z,14.55,14.74,14,14.37,NaN,NaN,10305,31805.9,-85061,49.71909504
2016-06-26T00:00:00Z,14.39,14.49,13.6,14.02,NaN,NaN,7488,31923.2,-92549,48.51230931
2016-06-27T00:00:00Z,14,14.59,13.85,14.1,NaN,NaN,10082,31776.5,-82467,48.81810401
2016-06-28T00:00:00Z,14.06,14.25,11.52,12.23,NaN,NaN,42382,33264.75,-124849,42.46871475
2016-06-29T00:00:00Z,12.16,13.13,11.62,12.74,NaN,NaN,26010,34154.05,-98839,44.58555125
2016-06-30T00:00:00Z,12.7,13.06,12.19,12.49,NaN,NaN,12663,33920.2,-111502,43.7360245
2016-07-01T00:00:00Z,12.48,12.54,11.8,12.34,NaN,NaN,19198,34501.05,-130700,43.20410748
2016-07-02T00:00:00Z,12.28,12.45,12,12.09,NaN,NaN,11823,34075.6,-142523,42.28114352
2016-07-03T00:00:00Z,12.16,12.16,11.65,12.02,NaN,NaN,11726,33455.85,-154249,42.01052313
2016-07-04T00:00:00Z,11.94,11.99,11.41,11.48,NaN,NaN,5533,31966.2,-159782,39.8894658
2016-07-05T00:00:00Z,11.45,11.48,9.31,10.6,NaN,NaN,34516,33011.3,-194298,36.64266965
2016-07-06T00:00:00Z,10.6,11,10.24,10.61,NaN,NaN,14283,32013.2,-180015,36.70571649
2016-07-07T00:00:00Z,10.6,10.7,9.75,10.08,NaN,NaN,21332,26925.8,-201347,34.7329802
2016-07-08T00:00:00Z,10.08,11.8,10.05,11.43,NaN,NaN,27624,24264.7,-173723,43.11881908
2016-07-09T00:00:00Z,11.39,11.57,10.68,11.01,NaN,NaN,9084,23276.95,-182807,41.33924733
2016-07-10T00:00:00Z,11.02,11.3,10.9,11.02,NaN,NaN,9663,22028.35,-173144,41.40125885
2016-07-11T00:00:00Z,11,11.16,10.11,10.72,NaN,13.4354,11105,20980.1,-184249,40.03397299
2016-07-12T00:00:00Z,10.65,10.98,10.5,10.57,NaN,13.3746,13925,18273.5,-198174,39.33449502
2016-07-13T00:00:00Z,10.58,10.65,10.49,10.49,NaN,13.329,5528,16827.65,-203702,38.94368489
2016-07-14T00:00:00Z,10.5,11.78,10.33,11.62,NaN,13.3092,25197,16473.35,-178505,46.9599054
2016-07-15T00:00:00Z,11.56,12.75,11.4,11.99,NaN,13.2996,24305,17173.35,-154200,49.30681627
2016-07-16T00:00:00Z,11.98,12.4,11.79,11.8,NaN,13.316,7836,17190.75,-162036,48.12911076
2016-07-17T00:00:00Z,11.81,11.92,11.02,11.33,NaN,13.3022,12643,17318.8,-174679,45.24988224
2016-07-18T00:00:00Z,11.27,11.93,11,11.05,NaN,13.2764,14256,15912.5,-188935,43.57735195
2016-07-19T00:00:00Z,11.08,11.98,11.07,11.75,NaN,13.2538,7850,15004.5,-181085,48.68397967
2016-07-20T00:00:00Z,11.7,13,11.22,12.5,NaN,13.2206,39981,16370.4,-141104,53.53622887
2016-07-21T00:00:00Z,12.53,13.09,12.1,12.76,NaN,13.1972,72258,19023.4,-68846,55.12051902
2016-07-22T00:00:00Z,12.76,15.11,12.73,14.83,NaN,13.2132,199026,28383.55,130180,65.27294627
2016-07-23T00:00:00Z,14.99,15.39,14,14.52,NaN,13.224,115668,33580.65,14512,62.9753757
2016-07-24T00:00:00Z,14.52,14.57,12.05,12.78,NaN,13.2006,140552,40331.6,-126040,51.92694379
2016-07-25T00:00:00Z,12.71,14.01,12.61,13.91,NaN,13.198,101996,43705.6,-24044,57.18084441
2016-07-26T00:00:00Z,13.93,13.95,11.88,12,NaN,13.1536,165972,51290.05,-190016,47.69287582
2016-07-27T00:00:00Z,12,13.4,11.75,13.1,NaN,13.1252,109892,55718.05,-80124,52.57362618
2016-07-28T00:00:00Z,13.1,13.14,12.53,12.93,NaN,13.091,65895,57631.6,-146019,51.76965234
2016-07-29T00:00:00Z,12.93,12.95,12.57,12.84,NaN,13.0536,53554,59855.1,-199573,51.32218903
2016-07-30T00:00:00Z,12.84,12.88,12.49,12.49,NaN,13.0252,38705,61307.2,-238278,49.5292953
2016-07-31T00:00:00Z,12.49,12.67,11.61,11.99,NaN,12.983,57172,63610.55,-295450,47.00312429
2016-08-01T00:00:00Z,11.98,12.12,10.8,10.95,NaN,12.8904,91878,67508.2,-387328,42.18371868
2016-08-02T00:00:00Z,10.9,11.31,6.68,8.78,NaN,12.7082,195127,76988.15,-582455,34.28462546
2016-08-03T00:00:00Z,8.68,10.78,8.54,10.68,NaN,12.546,215564,86506.5,-366891,44.14653565
2016-08-04T00:00:00Z,10.6,11.55,10.42,11.32,NaN,12.404,99086,90245.55,-267805,47.03012908
2016-08-05T00:00:00Z,11.3,11.4,10.81,11.18,NaN,12.2078,47195,92213.5,-315000,46.4650065
2016-08-06T00:00:00Z,11.18,11.18,10.42,11.01,NaN,12.115,34947,93328.7,-349947,45.74617542
2016-08-07T00:00:00Z,11,11.25,10.84,10.99,NaN,12.102,30014,94116.6,-379961,45.65668614
2016-08-08T00:00:00Z,10.99,11.42,10.94,11.34,NaN,12.0818,30913,95269.75,-349048,47.58893009
2016-08-09T00:00:00Z,11.33,12.48,11.24,12.28,NaN,12.0912,84418,97491.6,-264630,52.47625271
2016-08-10T00:00:00Z,12.28,12.91,11.87,12.21,NaN,12.0576,146625,101209.95,-411255,52.08673253
2016-08-11T00:00:00Z,12.22,12.39,11.6,11.73,NaN,12.0286,54926,94004.95,-466181,49.37999541
2016-08-12T00:00:00Z,11.73,12.08,11.65,11.81,NaN,11.9886,30659,89754.5,-435522,49.84777643
2016-08-13T00:00:00Z,11.8,11.86,11.54,11.61,NaN,11.9298,28358,84144.8,-463880,48.63768551
2016-08-14T00:00:00Z,11.61,11.76,11.2,11.28,NaN,11.868,25767,80333.35,-489647,46.62640444
2016-08-15T00:00:00Z,11.28,11.52,11.02,11.3,NaN,11.8136,33103,73689.9,-456544,46.77007126
2016-08-16T00:00:00Z,11.3,11.38,11,11.18,NaN,11.7552,50994,70745,-507538,45.97052169
2016-08-17T00:00:00Z,11.18,11.26,10.69,10.82,NaN,11.727,40020,69451.25,-547558,43.56441339
2016-08-18T00:00:00Z,10.82,11.06,10.76,10.77,NaN,11.6876,35774,68562.25,-583332,43.22601126
2016-08-19T00:00:00Z,10.77,10.86,10.65,10.77,NaN,11.6532,29161,68085.05,-583332,43.22601126
2016-08-20T00:00:00Z,10.77,11.37,10.7,11.3,NaN,11.6324,35228,66987.85,-548104,48.17499267
2016-08-21T00:00:00Z,11.3,11.3,10.98,11.21,NaN,11.6148,17981,63293,-566085,47.4190813
2016-08-22T00:00:00Z,11.17,11.34,11.04,11.1,NaN,11.5964,36429,55358.1,-602514,46.45955016
2016-08-23T00:00:00Z,11.1,11.2,10.85,11,NaN,11.5868,32526,46206.2,-635040,45.55703727
2016-08-24T00:00:00Z,11,11.16,10.98,11.01,NaN,11.595,24010,42452.4,-611030,45.67069455
2016-08-25T00:00:00Z,11.01,11.35,10.99,11.34,NaN,11.6096,28922,41538.75,-582108,49.4230724
2016-08-26T00:00:00Z,11.34,11.47,11.2,11.28,NaN,11.6336,27284,41155.6,-609392,48.76360967
2016-08-27T00:00:00Z,11.27,11.28,11.17,11.18,NaN,11.6286,20473,40678.55,-629865,47.6230676
2016-08-28T00:00:00Z,11.18,11.19,10.97,11.01,NaN,11.6286,18631,40064.45,-648496,45.66757136
2016-08-29T00:00:00Z,11.01,11.16,10.8,10.95,NaN,11.6272,31674,37427.25,-680170,44.96577882
2016-08-30T00:00:00Z,10.95,11.25,10.95,11.21,NaN,11.637,26060,31399,-654110,48.64843599
2016-08-31T00:00:00Z,11.21,11.7,11.09,11.7,NaN,11.6596,37751,30540.25,-616359,54.78864811
2016-09-01T00:00:00Z,11.66,12.5,11.57,12.05,NaN,11.6908,86906,33352.6,-529453,58.59684812
2016-09-02T00:00:00Z,12.04,12.35,11.95,12.15,NaN,11.7014,40611,33965.25,-488842,59.64279582
2016-09-03T00:00:00Z,12.15,12.47,11.6,11.88,NaN,11.6992,37617,34557.75,-526459,55.56149213
2016-09-04T00:00:00Z,11.84,11.88,11.54,11.77,NaN,11.6986,19069,33856.05,-545528,53.94199012
2016-09-05T00:00:00Z,11.77,11.84,11.62,11.76,NaN,11.7072,14026,32007.65,-559554,53.78849698
2016-09-06T00:00:00Z,11.75,11.76,11.5,11.71,NaN,11.7204,27143,31363.8,-586697,52.97678433
